id,nama_stasiun,wilayah_operasi,kecamatan,zona,x,y,z,lat,long
,Malang,DAOP 8 SURABAYA,Klojen,49 S / 49 M,680435 m E,9117825 m S,444 m,-7.977561,112.6370482
,Malangkotlama,DAOP 8 SURABAYA,Sukun,49 S / 49 M,679935 m E,9115910 m S,429 m,-7.994894,112.6325819
,Pakisaji,DAOP 8 SURABAYA,Pakisaji,49 S / 49 M,676145 m E,9107695 m S,386 m,-8.0693085,112.5984944
,Kepanjen,DAOP 8 SURABAYA,Kepanjen,49 S / 49 M,673340 m E,9100760 m S,335 m,-8.1321138,112.5732895
,Ngebrruk,DAOP 8 SURABAYA,Sumberpucung,49 S / 49 M,667105 m E,9098595 m S,319 m,-8.1519055,112.5167861
,Sumberpucung,DAOP 8 SURABAYA,Sumberpucung,49 S / 49 M,662870 m E,9097895 m S,296 m,-8.1583772,112.4783778
,Karangkates,DAOP 8 SURABAYA,,49 S / 49 M,660675 m E,9097535 m S,282 m,-8.1617047,112.4584699
,Pogajih,DAOP 8 SURABAYA,Selorejo,49 S / 49 M,656480 m E,9098060 m S,205 m,-8.1570933,112.4202012
,Plampangan,DAOP 8 SURABAYA,Kesamben,49 S / 49 M,653245 m E,9097665 m S,190 m,-8.1607664,112.3910366
,Kesamben,DAOP 8 SURABAYA,Kesamben,49 S / 49 M,650210 m E,9098945 m S,193 m,-8.1492852,112.3634535
,Wlingi,DAOP 8 SURABAYA,Wlingi,49 S / 49 M,645455 m E,9105690 m S,274 m,-8.084323,112.3201012
,Tulangan,DAOP 8 SURABAYA,Tulangan,49 S / 49 M,682190 m E,9174425 m S,4 m,-7.4657268,112.6509783
,Mesigit,DAOP 8 SURABAYA,Bubutan,49 S / 49 M,690660 m E,9198225 m S,4 m,-7.2411994,112.726842
,Segitiga Mesigit,DAOP 8 SURABAYA,,49 S / 49 M,691575 m E,9198855 m S,5 m,-7.2445134,112.7351396
,Pasuruan,DAOP 9 JEMBER,Panggungrejo,49 S / 49 M,710705 m E,9155265 m S,3 m,-7.6379053,112.9100483
,Rejoso,DAOP 9 JEMBER,Rejoso,49 S / 49 M,717055 m E,9149315 m S,6 m,-7.691437,112.9678335
,Grati,DAOP 9 JEMBER,Grati,49 S / 49 M,721920 m E,9148405 m S,16 m,-7.7175391,113.0120457
,Bayeman,DAOP 9 JEMBER,Tongas,49 S / 49 M,733690 m E,9144455 m S,6 m,-7.7346507,113.1187981
,Probolinggo,DAOP 9 JEMBER,Mayangan,49 S / 49 M,744405 m E,9143490 m S,5 m,-7.7428799,113.2159449
,Jati,DAOP 9 JEMBER,Mayangan,49 S / 49 M,745310 m E,9142065 m S,12 m,-7.7557175,113.2242136
,Jorongan,DAOP 9 JEMBER,Leces,49 S / 49 M,745440 m E,9135395 m S,36 m,-7.816,113.22571
,Leces,DAOP 9 JEMBER,Leces,49 S / 49 M,745790 m E,9132025 m S,48 m,-7.8464438,113.2290442
,Malasan,DAOP 9 JEMBER,Tegalsiwalan,49 S / 49 M,749215 m E,9127620 m S,138 m,-7.8860929,113.2603045
,Ranuyoso,DAOP 9 JEMBER,Ranuyoso,49 S / 49 M,746800 m E,9120075 m S,248 m,-7.9544168,113.2369678
,Klakah,DAOP 9 JEMBER,Klakah,49 S / 49 M,747945 m E,9115670 m S,193 m,-7.9941658,113.2493798
,Randuagung,DAOP 9 JEMBER,Randuagung,49 S / 49 L,754065 m E,9107235 m S,98 m,-8.0700969,113.3053009
,Kaliboto,DAOP 9 JEMBER,Jatiroto,49 S / 49 L,758595 m E,9102880 m S,54 m,-8.1092234,113.346089
,Jatiroto,DAOP 9 JEMBER,Jatiroto,49 S / 49 L,760510 m E,9101305 m S,29 m,-8.1233574,113.3640597
,Sumberbaru,DAOP 9 JEMBER,Sumberbaru,49 S / 49 L,762830 m E,9101235 m S,36 m,-8.1238672,113.3851044
,Tanggul,DAOP 9 JEMBER,Tanggul,49 S / 49 L,769775 m E,9096890 m S,30 m,-8.1627594,113.443828
,Bangsalsari,DAOP 9 JEMBER,Bangsalsari,49 S / 49 L,779110 m E,9092390 m S,49 m,-8.202903,113.5332486
,Petung,DAOP 9 JEMBER,Bangsalsari,49 S / 49 L,784735 m E,9091890 m S,49 m,-8.2070971,113.584296
,Rambipuji,DAOP 9 JEMBER,Rambipuji,49 S / 49 L,788055 m E,9092275 m S,52 m,-8.2034238,113.6134847
,Mangli,DAOP 9 JEMBER,Kaliwates,49 S / 49 L,791810 m E,9093630 m S,62 m,-8.1909578,113.6483592
,Jember,DAOP 9 JEMBER,Patrang,49 S / 49 L,797920 m E,9096475 m S,89 m,-8.1648847,113.7035962
,Arjoso,DAOP 9 JEMBER,Pakusari,49 S / 49 L,802265 m E,9100370 m S,141 m,-8.1294279,113.7427562
,Kotokan,DAOP 9 JEMBER,Kalisat,49 S / 49 L,806260 m E,9100705 m S,176 m,-8.1261551,113.778957
,Kalisat,DAOP 9 JEMBER,Kalisat,49 S / 49 L,809940 m E,9100600 m S,265 m,-8.1268742,113.812328
,Ledokombo,DAOP 9 JEMBER,Ledokombo,49 S / 49 L,816910 m E,9099030 m S,370 m,-8.1406155,113.8756195
,Sumbersalak,DAOP 9 JEMBER,Ledokombo,49 S / 49 L,818960 m E,9097170 m S,422 m,-8.1572863,113.8943258
,Sempolan,DAOP 9 JEMBER,Silo,49 S / 49 L,819145 m E,9093260 m S,469 m,-8.1925967,113.8962581
,Garahan,DAOP 9 JEMBER,Silo,49 S / 49 L,819060 m E,9089685 m S,514 m,-8.2248982,113.8957215
,Mrawan,DAOP 9 JEMBER,Silo,49 S / 49 L,822455 m E,9084395 m S,524 m,-8.2724627,113.9286582
,Kalibaru,DAOP 9 JEMBER,Kalibaru,49 S / 49 L,828790 m E,9082525 m S,428 m,-8.2889294,113.9844342
,Krikilan,DAOP 9 JEMBER,Glenmore,50 S / 50 L,172745 m E,9081745 m S,361 m,-8.2960793,114.0294333
,Glenmore,DAOP 9 JEMBER,Glenmore,50 S / 50 L,174955 m E,9081370 m S,342 m,-8.2996158,114.0494503
,Kempit,DAOP 9 JEMBER,Glenmore,50 S / 50 L,177930 m E,9081020 m S,322 m,-8.3029765,114.0764079
,Sumberwadung,DAOP 9 JEMBER,Glenmore,50 S / 50 L,181125 m E,9081165 m S,312 m,-8.3018785,114.1053946
,Kalisetail,DAOP 9 JEMBER,Sempu,50 S / 50 L,184925 m E,9081085 m S,272 m,-8.3028503,114.1398545
,Temuguruh,DAOP 9 JEMBER,Sempu,50 S / 50 L,191795 m E,9080405 m S,196 m,-8.3094367,114.202123
,Singojuruh,DAOP 9 JEMBER,Singojuruh,50 S / 50 L,196030 m E,9080755 m S,160 m,-8.3065429,114.2405596
,Rogojampi,DAOP 9 JEMBER,Rogojampi,50 S / 50 L,201765 m E,9081000 m S,89 m,-8.3046887,114.2925989
,Kabat,DAOP 9 JEMBER,Kabat,50 S / 50 L,204320 m E,9084170 m S,47 m,-8.2762014,114.3159683
,Karangasem,DAOP 9 JEMBER,Glagah,50 S / 50 L,207020 m E,9090080 m S,83 m,-8.2229646,114.3408166
,Argopuro,DAOP 9 JEMBER,Kalipuro,50 S / 50 L,210130 m E,9094450 m S,56 m,-8.1836638,114.3692834
,Banyuwangibaru,DAOP 9 JEMBER,Kalipuro,50 S / 50 L,213180 m E,9099160 m S,3 m,-8.1412829,114.3972197
,Ajung,DAOP 9 JEMBER,Kalisat,49 S / 49 L,811465 m E,9100975 m S,301 m,-8.1233904,113.8261303
,Sukosari,DAOP 9 JEMBER,,49 S / 49 L,812190 m E,9105365 m S,321 m,-8.0836837,113.8324257
,Sukowono,DAOP 9 JEMBER,Sukowono,49 S / 49 L,812745 m E,9108105 m S,344 m,-8.0588947,113.837284
,Tamanan,DAOP 9 JEMBER,Tamanan,49 S / 49 L,811675 m E,9112940 m S,345 m,-8.0152801,113.8722882
,Grujugan,DAOP 9 JEMBER,Grujugan,49 S / 49 L,811225 m E,9118030 m S,286 m,-7.9693224,113.8228872
,Bondowoso,DAOP 9 JEMBER,Bondowoso,49 S / 49 L,811980 m E,9123830 m S,258 m,-7.9168758,113.8293706
,Tengsil,DAOP 9 JEMBER,Tenggarang,49 S / 49 L,814830 m E,9124595 m S,259 m,-7.9097885,113.855148
,Bonosare,DAOP 9 JEMBER,Wonosari,49 S / 49 L,819000 m E,9126945 m S,230 m,-7.8882983,113.8927845
,Tapen,DAOP 9 JEMBER,Tapen,49 S / 49 L,823695 m E,9130800 m S,184 m,-7.8531772,113.935077
,Prajekan,DAOP 9 JEMBER,Botolinggo,49 S / 49 L,828310 m E,9135880 m S,92 m,-7.8069937,113.9765588
,Widuri,DAOP 9 JEMBER,Prajekan,49 S / 49 L,829595 m E,9138420 m S,74 m,-7.7839671,113.9880353
,Kalibagor,DAOP 9 JEMBER,Situbondo,50 S / 50 M,169350 m E,9140620 m S,62 m,-7.7640265,114.0025503
,Situbondo,DAOP 9 JEMBER,Panarukan,49 S / 49 M,830425 m E,9146165 m S,30 m,-7.7139517,113.995058
,Tribungan,DAOP 9 JEMBER,Panarukan,49 S / 49 M,827895 m E,9146455 m S,18 m,-7.7114919,113.9721283
,Panarukan,DAOP 9 JEMBER,Panarukan,49 S / 49 M,823825 m E,9147965 m S,3 m,-7.6981055,113.935176
,Medan,DIVRE 1 MEDAN,Medan Barat,47 N / 47 N,464440 m E,396890 m S,22 m,3.5906849,98.6798086
,Glugur,DIVRE 1 MEDAN,Medan Maimun,47 N / 47 N,463860 m E,398940 m S,19 m,3.609229,98.6745796
,Pulubrayan,DIVRE 1 MEDAN,Medan Timur,47 N / 47 N,463400 m E,401425 m S,15.05 m,3.6317088,98.6704294
,Titipan,DIVRE 1 MEDAN,Medan Deli,47 N / 47 N,463195 m E,407590 m S,8 m,3.6874816,98.668563
,Kampungbesar,DIVRE 1 MEDAN,,47 N / 47 N,464590 m E,410610 m S,4 m,3.7148075,98.6811154
,Labuan,DIVRE 1 MEDAN,Medan Labuhan,47 N / 47 N,464140 m E,412880 m S,2.3 m,3.7353422,98.6770555
,Belawan,DIVRE 1 MEDAN,Medan Belawan,47 N / 47 N,464855 m E,417615 m S,1.9 m,3.7781804,98.6816778
,Medanpasar,DIVRE 1 MEDAN,Medan Area,47 N / 47 N,465785 m E,396485 m S,22.23 m,3.5870251,98.8919204
,Kebonpisang,DIVRE 1 MEDAN,,47 N / 47 N,467965 m E,396720 m S,23 m,3.5891575,98.7115488
,Pmandala,DIVRE 1 MEDAN,,47 N / 47 N,469845 m E,396915 m S,22 m,3.5909269,98.7284761
,Bandar Khalifah,DIVRE 1 MEDAN,Percut Sei Tuan,47 N / 47 N,473015 m E,397255 m S,16.13 m,3.5940109,98.7570187
,Batangkuis,DIVRE 1 MEDAN,Batang Kuis,47 N / 47 N,477985 m E,399225 m S,9.13 m,3.6118441,98.801766
,Serdang,DIVRE 1 MEDAN,Gelumbang,47 N / 47 N,481610 m E,401725 m S,4 m,3.6344679,98.8444031
,Araskabu,DIVRE 1 MEDAN,Batang Kuis,47 N / 47 N,483110 m E,399320 m S,7.23 m,3.6127125,98.8479138
,Parsarore,DIVRE 1 MEDAN,,47 N / 47 N,483340 m E,399000 m S,5 m,3.6098178,98.8499853
,Lubukpakam,DIVRE 1 MEDAN,Lubuk Pakam,47 N / 47 N,486520 m E,393920 m S,16.85 m,3.5638637,98.8786256
,Perbaungan,DIVRE 1 MEDAN,Perbaungan,47 N / 47 N,494585 m E,394255 m S,16 m,3.5669011,98.9512429
,Lidah Tanah,DIVRE 1 MEDAN,Perbaungan,47 N / 47 N,501600 m E,398325 m S,11.47 m,3.5630121,99.0144065
,Bulu,DIVRE 1 MEDAN,,47 N / 47 N,506565 m E,392385 m S,8 m,3.5499827,99.0591107
,Telukmengudu,DIVRE 1 MEDAN,Teluk mengkudu,47 N / 47 N,510065 m E,390230 m S,6.5 m,3.530484,99.0906224
,Rampah,DIVRE 1 MEDAN,Sei rampah,47 N / 47 N,515470 m E,385170 m S,4 m,3.4847004,99.1392806
,Bamban,DIVRE 1 MEDAN,Sei bamban,47 N / 47 N,518550 m E,379980 m S,7.46 m,3.4377422,99.1870024
,Rambutan,DIVRE 1 MEDAN,Rambutan,47 N / 47 N,518685 m E,373110 m S,13 m,3.3755894,99.168207
,Rantaualaban,DIVRE 1 MEDAN,,47 N / 47 N,518515 m E,369325 m S,18 m,3.3413469,99.1666708
,Tebingtinggi,DIVRE 1 MEDAN,Padang hilir,47 N / 47 N,518715 m E,367745 m S,22 m,3.3270524,99.1684688
,Payapinging,DIVRE 1 MEDAN,,47 N / 47 N,520840 m E,365320 m S,27 m,3.3051101,99.1875934
,Mendalis,DIVRE 1 MEDAN,,47 N / 47 N,524530 m E,363660 m S,24 m,3.2900853,99.2208509
,Lauttador,DIVRE 1 MEDAN,Laut tador,47 N / 47 N,528375 m E,362735 m S,13.7 m,3.2817086,99.2554142
,Tanjungkasu,DIVRE 1 MEDAN,,47 N / 47 N,532245 m E,363100 m S,20 m,3.2850011,99.2902502
,Bandartinggi,DIVRE 1 MEDAN,Sei suka,47 N / 47 N,533755 m E,363045 m S,14.5 m,3.2844995,99.303842
,Pertebalan,DIVRE 1 MEDAN,,47 N / 47 N,534045 m E,358465 m S,49 m,3.2430639,99.3064398
,Bahlian,DIVRE 1 MEDAN,,47 N / 47 N,537830 m E,353870 m S,32.7 m,3.2014827,99.340454
,Perlanaan,DIVRE 1 MEDAN,Bandar,47 N / 47 N,540535 m E,351010 m S,33.63 m,3.1756003,99.3648318
,Limapuluh,DIVRE 1 MEDAN,Lima puluh,47 N / 47 N,545845 m E,350750 m S,34.7 m,3.17323,99.4126223
,Dusun,DIVRE 1 MEDAN,Talawi,47 N / 47 N,556630 m E,345745 m S,21 m,3.1279079,99.509667
,Sungai bejengkar,DIVRE 1 MEDAN,Sei balai,47 N / 47 N,561800 m E,343390 m S,10 m,3.1065794,99.5581841
,Bunut,DIVRE 1 MEDAN,Kisaran barat,47 N / 47 N,566665 m E,331820 m S,18.37 m,3.0118867,99.5999083
,Kisaran,DIVRE 1 MEDAN,Kisaran barat,47 N / 47 N,568845 m E,330085 m S,19.87 m,2.98618,99.6195162
,Tanjungbalai,DIVRE 1 MEDAN,Tanjung balai utara,47 N / 47 N,588880 m E,328390 m S,2.87 m,2.9707297,99.7997838
,Santang,DIVRE 1 MEDAN,,47 N / 47 N,571655 m E,327270 m S,20 m,2.9606995,99.6447867
,Saialim,DIVRE 1 MEDAN,,47 N / 47 N,571385 m E,323700 m S,29 m,2.9284049,99.6423387
,Sijabut,DIVRE 1 MEDAN,,47 N / 47 N,571240 m E,320090 m S,29 m,2.8957477,99.6410156
,Hengelo,DIVRE 1 MEDAN,Air batu,47 N / 47 N,571035 m E,316065 m S,27.38 m,2.8593366,99.6391508
,Telukdalam,DIVRE 1 MEDAN,Teluk dalam,47 N / 47 N,569590 m E,312550 m S,37.76 m,2.8275451,99.6261325
,Masihi,DIVRE 1 MEDAN,,47 N / 47 N,570235 m E,307565 m S,27 m,2.782445,99.6319114
,Puloraja,DIVRE 1 MEDAN,Pulau rakyat,47 N / 47 N,568585 m E,298150 m S,24 m,2.6972793,99.6170232
,Aekloba,DIVRE 1 MEDAN,Aek kuasan,47 N / 47 N,568465 m E,293065 m S,37 m,2.651278,99.6159207
,Membangmuda,DIVRE 1 MEDAN,Kualuh hulu,47 N / 47 N,572380 m E,283560 m S,27.5 m,2.5652725,99.6510949
,Guntingsaga,DIVRE 1 MEDAN,,47 N / 47 N,573125 m E,278720 m S,22 m,2.5214839,99.657774
,Stungir,DIVRE 1 MEDAN,Kualuh selatan,47 N / 47 N,575445 m E,275545 m S,18.5 m,2.4927504,99.6786271
,Tambakgapuk,DIVRE 1 MEDAN,,47 N / 47 N,578130 m E,273950 m S,18 m,2.4783086,99.7027699
,Adiantarop,DIVRE 1 MEDAN,,47 N / 47 N,580145 m E,270905 m S,16 m,2.4507525,99.7208788
,Kampungadiantorop,DIVRE 1 MEDAN,,47 N / 47 N,581455 m E,266985 m S,19 m,2.4152841,99.732642
,Pamineke,DIVRE 1 MEDAN,Aek kuo,47 N / 47 N,584610 m E,262750 m S,26.87 m,2.3769571,99.7609967
,Padanghalaban,DIVRE 1 MEDAN,Aek kuo,47 N / 47 N,591230 m E,255785 m S,26.9 m,2.313735,99.8204973
,Marbau,DIVRE 1 MEDAN,Marbau,47 N / 47 N,591285 m E,249915 m S,26.89 m,2.2608142,99.8209818
,Bausassalam,DIVRE 1 MEDAN,,47 N / 47 N,592945 m E,247315 m S,25 m,2.2372855,99.8358784
,Rantauprapat,DIVRE 1 MEDAN,Rantau utara,47 N / 47 N,591285 m E,233610 m S,27.14 m,2.1133152,99.8208817
,Nagasakigan,DIVRE 1 MEDAN,,47 N / 47 N,511830 m E,362365 m S,38 m,3.2783882,99.1064863
,Bajalinggei,DIVRE 1 MEDAN,Dolok merawan,47 N / 47 N,512330 m E,350090 m S,284.20 m,3.1673357,99.1109749
,Dolokmerangir,DIVRE 1 MEDAN,Dolok batunanggar,47 N / 47 N,513015 m E,344590 m S,144.56 m,3.1175764,99.1171346
,Simaskas,DIVRE 1 MEDAN,,47 N / 47 N,509715 m E,334290 m S,268 m,3.0243948,99.0874272
,Pematangsiantar,DIVRE 1 MEDAN,Siantar barat,47 N / 47 N,506990 m E,327080 m S,383.5 m,2.9591672,99.0629007
,Serbangan,DIVRE 1 MEDAN,,47 N / 47 N,574985 m E,331105 m S,15 m,2.9953747,99.6747714
,Kebonsayur,DIVRE 1 MEDAN,,47 N / 47 N,578845 m E,331005 m S,6 m,2.994448,99.7095043
,Airjoman,DIVRE 1 MEDAN,,47 N / 47 N,581170 m E,330875 m S,7 m,2.9932581,99.7304244
,Sunggal,DIVRE 1 MEDAN,,47 N / 47 N,456110 m E,398400 m S,24 m,3.604316,98.6047983
,Diski,DIVRE 1 MEDAN,,47 N / 47 N,409485 m E,446775 m S,2 m,4.0416356,98.1845776
,Binjai,DIVRE 1 MEDAN,Binjai timur,47 N / 47 N,444230 m E,398985 m S,29.52 m,3.6085553,98.497826
,Kualanamo,DIVRE 1 MEDAN,Beringin,47 N / 47 N,486465 m E,401715 m S,3 m,3.6343845,98.878121
,Ujungbaru,DIVRE 1 MEDAN,,47 N / 47 N,466675 m E,418585 m S,2 m,3.7869623,98.699867
,Kebunladas,DIVRE 1 MEDAN,,47 N / 47 N,443445 m E,401940 m S,26 m,3.6362841,98.4907428
,Pungei,DIVRE 1 MEDAN,,47 N / 47 N,441975 m E,403790 m S,23 m,3.6530126,98.4774967
,Kualabegumit,DIVRE 1 MEDAN,,47 N / 47 N,438650 m E,406800 m S,17 m,3.6802247,98.4475399
,Kualabingai,DIVRE 1 MEDAN,Stabat,47 N / 47 N,436100 m E,410595 m S,18 m,3.7145415,98.4245556
,Kampungpantai,DIVRE 1 MEDAN,,47 N / 47 N,434525 m E,412955 m S,11 m,3.7358817,98.4103585
,Stabat,DIVRE 1 MEDAN,Wampu,47 N / 47 N,431285 m E,416265 m S,11 m,3.7658051,98.3811604
,Tanjungputus,DIVRE 1 MEDAN,,47 N / 47 N,428180 m E,420785 m S,6 m,3.8066742,98.3531679
,Tanjungslamet,DIVRE 1 MEDAN,Padang tualang,47 N / 47 N,425980 m E,423720 m S,8 m,3.8332099,98.3333345
,Kualapesilam,DIVRE 1 MEDAN,,47 N / 47 N,432285 m E,429190 m S,4 m,3.8827361,98.390083
,Tanjungpura,DIVRE 1 MEDAN,,47 N / 47 N,435135 m E,431040 m S,1 m,3.8994902,98.4157411
,Tanjungpura,DIVRE 1 MEDAN,Tanjung pura,47 N / 47 N,435775 m E,432335 m S,1 m,3.9112093,98.4214975
,Gebang,DIVRE 1 MEDAN,Gebang,47 N / 47 N,429200 m E,438415 m S,3 m,3.9661679,98.3622342
,Pangkalanbrandan,DIVRE 1 MEDAN,Babalan,47 N / 47 N,421265 m E,444605 m S,5 m,4.0221053,98.2907112
,Alurdua,DIVRE 1 MEDAN,,47 N / 47 N,421375 m E,443975 m S,7 m,4.0164071,98.291707
,Babalan,DIVRE 1 MEDAN,,47 N / 47 N,419875 m E,443395 m S,5 m,4.0111485,98.2781898
,Bukitmas,DIVRE 1 MEDAN,,47 N / 47 N,411090 m E,444800 m S,7 m,4.0237842,98.1990531
,Besitang,DIVRE 1 MEDAN,Besitang,47 N / 47 N,409595 m E,448680 m S,2 m,4.0424055,98.1855677
,Kruenggekueh,DIVRE 1 MEDAN,Dewantara,47 N / 47 N,280620 m E,579950 m S,9 m,5.2437086,97.020647
,Bungkaih,DIVRE 1 MEDAN,Muara batu,47 N / 47 N,274470 m E,581740 m S,7 m,5.2597136,96.9651296
,Kruengmane,DIVRE 1 MEDAN,,47 N / 47 N,269755 m E,580800 m S,16 m,5.2510751,96.9226348
,Kampungjuar,DIVRE II SUMBAR,,47 S / 47 M,657665 m E,9893170 m S,34 m,-0.963151,100.4169491
,Pauhlima,DIVRE II SUMBAR,Pauh,47 S / 47 M,659680 m E,9896305 m S,90 m,-0.9378642,100.4350438
,Indarung,DIVRE II SUMBAR,Lubuk Kilang,47 S / 47 M,663285 m E,9894960 m S,90 m,-0.9500152,100.4674
,Bukitputus,DIVRE II SUMBAR,Padang Timur,47 S / 47 M,654135 m E,9891030 m S,8 m,-0.9855948,100.3852401
,Padang,DIVRE II SUMBAR,Padang Timur,47 S / 47 M,652850 m E,9895860 m S,8 m,-0.9419138,100.3736763
,Tabing,DIVRE II SUMBAR,Tebing Tinggi,47 S / 47 M,649375 m E,9904170 m S,2 m,-0.8667639,100.3424244
,Duku,DIVRE II SUMBAR,Batang Anai,47 S / 47 M,646525 m E,9912980 m S,7 m,-0.7870875,100.3167899
,Parsarusan,DIVRE II SUMBAR,Batang Anai,47 S / 47 M,645835 m E,9918575 m S,12 m,-0.7364831,100.3105748
,Lubukalung,DIVRE II SUMBAR,Lubuk Alung,47 S / 47 M,643480 m E,9924900 m S,25 m,-0.6792798,100.289399
,Sicincin,DIVRE II SUMBAR,Padang Pariaman,47 S / 47 M,642210 m E,9937400 m S,89 m,-0.5662198,100.2779607
,Kayutanam,DIVRE II SUMBAR,Kayu Tanam,47 S / 47 M,648125 m E,9939400 m S,144 m,-0.5481181,100.3310109
,Kandangampat,DIVRE II SUMBAR,,47 S / 47 M,649015 m E,9944565 m S,311 m,-0.5013998,100.3390884
,Padangpanjang,DIVRE II SUMBAR,Padang Panjang,47 S / 47 M,655285 m E,9948760 m S,773 m,-0.4634459,100.3954136
,Kubukerambil,DIVRE II SUMBAR,Batipuh,47 S / 47 M,663280 m E,9946375 m S,647 m,-0.4850019,100.4672469
,Batubatal,DIVRE II SUMBAR,Batipuh Selatan,47 S / 47 M,669455 m E,9939875 m S,370 m,-0.5437762,100.522737
,Kacang,DIVRE II SUMBAR,X Koto Singkarak,47 S / 47 M,675170 m E,9932165 m S,369 m,-0.6134911,100.5740989
,Singkarak,DIVRE II SUMBAR,X Koto Singkarak,47 S / 47 M,678010 m E,9923445 m S,369 m,-0.692345,100.5996378
,Solok,DIVRE II SUMBAR,Tanjung Harat,47 S / 47 M,684280 m E,9912850 m S,398 m,-0.7881414,100.6560014
,Sungailasi,DIVRE II SUMBAR,IX Koto Sungai Lasi,47 S / 47 M,692820 m E,9914445 m S,332 m,-0.7736862,100.7327157
,Muarakalaban,DIVRE II SUMBAR,Silungkang,47 S / 47 M,698960 m E,9921245 m S,223 m,-0.7121717,100.7878484
,Sawahlunto,DIVRE II SUMBAR,Lembah Segar,47 S / 47 M,697745 m E,9924470 m S,262 m,-0.6830125,100.7769231
,Pauhambar,DIVRE II SUMBAR,Nan Sabaris,47 S / 47 M,635715 m E,9927995 m S,22 m,-0.651303,100.219822
,Kuraitaji,DIVRE II SUMBAR,Nan Sabaris,47 S / 47 M,630215 m E,9930015 m S,21 m,-0.6330431,100.1701984
,Pariaman,DIVRE II SUMBAR,Pariaman Tengah,47 S / 47 M,622440 m E,9930710 m S,2 m,-0.6267683,100.1165087
,Naras,DIVRE II SUMBAR,Pariaman Utara,47 S / 47 M,622165 m E,9936885 m S,4 m,-0.5709155,100.0978525
,PbrX5,DIVRE III PALEMBANG,Gelembung,48 S / 48 M,417175 m E,9623635 m S,45 m,-3.4047824,104.2543863
,Prabumulih,DIVRE III PALEMBANG,Prabumulih,48 S / 48 M,415675 m E,9620500 m S,43 m,-3.4331116,104.2408614
,Prabumulihbaru / X8,DIVRE III PALEMBANG,Prabumulih,48 S / 48 M,413825 m E,9619485 m S,46 m,-3.4422801,104.2242003
,Lembak,DIVRE III PALEMBANG,Gelembung,48 S / 48 M,426860 m E,9630550 m S,18 m,-3.3422703,104.3416114
,Karangendah,DIVRE III PALEMBANG,Gelembung,48 S / 48 M,432910 m E,9634790 m S,20 m,-3.3039483,104.3960932
,Glumbang,DIVRE III PALEMBANG,Gelembung,48 S / 48 M,437920 m E,9641160 m S,21 m,-3.2463481,104.4412209
,Serdang,DIVRE III PALEMBANG,Gelembung,48 S / 48 M,447020 m E,9644080 m S,16 m,-3.2199738,104.5231398
,Payakabung,DIVRE III PALEMBANG,Inderalaya,48 S / 48 M,456130 m E,9646380 m S,16 m,-3.1992014,104.8051432
,Pos IDR,DIVRE III PALEMBANG,Inderalaya,48 S / 48 M,460200 m E,9649155 m S,10 m,-3.1741099,104.6417839
,Simpang,DIVRE III PALEMBANG,Inderalaya,48 S / 48 M,466000 m E,9656855 m S,3 m,-3.104467,104.6904058
,Kertapati,DIVRE III PALEMBANG,Ilir Barat I,48 S / 48 M,472390 m E,9686550 m S,2 m,-3.0167703,104.7515346
,Penimur,DIVRE III PALEMBANG,Prabumulih,48 S / 48 M,406225 m E,9619070 m S,46 m,-3.4459758,104.155782
,Pos Blo Pnm,DIVRE III PALEMBANG,Rambang Dangku,48 S / 48 M,400740 m E,9618095 m S,33 m,-3.4547503,104.1063985
,Niru,DIVRE III PALEMBANG,Rambang Dangku,48 S / 48 M,396050 m E,9618230 m S,19 m,-3.4534883,104.064181
,Pos Blok Niru/PT. TEL,DIVRE III PALEMBANG,Rambang Dangku,48 S / 48 M,397335 m E,9618405 m S,25 m,-3.4518845,104.0433436
,Talangpadang,DIVRE III PALEMBANG,Gunung Megang,48 S / 48 M,390830 m E,9618620 m S,28 m,-3.4499129,104.0171957
,Blimbing Pendopo,DIVRE III PALEMBANG,Gunung Megang,48 S / 48 M,386220 m E,9619350 m S,25 m,-3.4432657,103.9757056
,Tanjung Terang,DIVRE III PALEMBANG,Gunung Megang,48 S / 48 M,381075 m E,9618000 m S,29 m,-3.4554259,103.9293798
,Gunung Megang,DIVRE III PALEMBANG,Gunung Megang,48 S / 48 M,374115 m E,9618140 m S,25 m,-3.4540865,103.8667321
,Penangaring,DIVRE III PALEMBANG,Gunung Megang,48 S / 48 M,368160 m E,9615040 m S,31 m,-3.4820804,103.8130953
,Ujanmas,DIVRE III PALEMBANG,Muaraenim Kota,48 S / 48 M,364090 m E,9609490 m S,36 m,-3.5322128,103.776395
,Muaragula,DIVRE III PALEMBANG,Muaraenim Kota,48 S / 48 M,364030 m E,9603540 m S,33 m,-3.5860209,103.7757838
,Muaraenim,DIVRE III PALEMBANG,Muaraenim Kota,48 S / 48 M,364080 m E,9596165 m S,37 m,-3.6527355,103.7761444
,Banjarsari,DIVRE III PALEMBANG,Merapi,48 S / 48 M,355450 m E,9593500 m S,47 m,-3.6767297,103.6984161
,Sukacinta,DIVRE III PALEMBANG,Pulau Pinang,48 S / 48 M,347360 m E,9582250 m S,78 m,-3.7783686,103.6254264
,Lahat,DIVRE III PALEMBANG,Lahat,48 S / 48 M,337580 m E,9580975 m S,112 m,-3.7897553,103.5373537
,Sukarame,DIVRE III PALEMBANG,Lahat,48 S / 48 M,328835 m E,9583430 m S,115 m,-3.7674161,103.4586599
